FechayHora	P2_Hs	P6_Hs
31060.5	0.92	1.21
31060.75	0.97	1.27
31061	0.92	1.23
31061.25	0.92	1.24
31061.5	1.33	1.87
31061.75	0.6	0.92
31062	1.3	1.46
31062.25	1.28	1.41
31062.5	1.35	1.63
31062.75	0.35	0.54
31063	0.61	0.89
31063.25	0.87	1.22
31063.5	0.98	1.39
31063.75	0.89	1.14
31064	0.77	0.83
31064.25	0.66	0.85
31064.5	0.81	0.95
31064.75	0.69	0.86
31065	1.12	1.26
31065.25	1.68	1.96
31065.5	2.24	2.6
31065.75	2.09	2.48
31066	1.54	1.82
31066.25	1.44	1.74
31066.5	1.22	1.49
31066.75	1.06	1.51
31067	0.63	1.09
31067.25	1.23	1.6
31067.5	0.9	1.24
31067.75	1.06	1.29
31068	0.43	0.47
31068.25	0.77	1.06
31068.5	0.44	0.55
31068.75	0.04	0.11
31069	0.2	0.34
31069.25	0.52	0.66
31069.5	0.52	0.66
31069.75	0.54	0.73
31070	0.63	0.81
31070.25	0.57	0.8
31070.5	0.68	0.85
31070.75	1.23	1.43
31071	0.99	1.18
31071.25	1.72	2.18
31071.5	1.71	2.17
31071.75	1.19	1.54
31072	1.2	1.49
31072.25	1.16	1.44
31072.5	1.03	1.3
31072.75	0.87	1.07
31073	0.86	1.08
31073.25	1.61	1.98
31073.5	1.16	1.41
31073.75	0.92	1.17
31074	0.77	0.98
31074.25	0.7	0.87
31074.5	0.65	0.81
31074.75	0.58	0.71
31075	0.85	1.06
31075.25	1.03	1.25
31075.5	0.79	0.96
31075.75	0.85	1.01
31076	0.25	0.53
31076.25	1.01	1.2
31076.5	0.89	1.05
31076.75	0.75	0.89
31077	0.7	0.94
31077.25	0.66	0.92
31077.5	0.69	0.86
31077.75	0.52	0.66
31078	0.51	0.62
31078.25	0.49	0.62
31078.5	0.52	0.66
31078.75	0.54	0.67
31079	0.57	0.69
31079.25	0.78	0.92
31079.5	1.03	1.28
31079.75	0.56	0.62
31080	0.87	1.05
31080.25	0.84	1.07
31080.5	1.21	1.5
31080.75	1.05	1.14
31081	1.34	1.53
31081.25	1.91	2
31081.5	1.4	1.67
31081.75	0.83	1.01
31082	0.58	0.66
31082.25	0.81	1.02
31082.5	1.06	1.33
31082.75	1.15	1.28
31083	1.09	1.23
31083.25	1.29	1.43
31083.5	0.67	0.72
31083.75	0.21	0.22
31084	0.24	0.25
31084.25	0.38	0.39
31084.5	0.57	0.83
31084.75	0.49	0.62
31085	0.68	0.77
31085.25	0.79	0.88
31085.5	0.86	0.99
31085.75	0.85	0.99
31086	0.9	1.03
31086.25	1.18	1.3
31086.5	1.41	1.52
31086.75	1.3	1.39
31087	1.2	1.27
31087.25	1.38	1.44
31087.5	1.34	1.38
31087.75	0.82	0.91
31088	0.77	0.87
31088.25	0.61	0.79
31088.5	0.87	1.27
31088.75	0.37	0.57
31089	0.84	1.35
31089.25	0.7	0.9
31089.5	0.76	0.92
31089.75	0.38	0.57
31090	0.55	0.79
31090.25	0.63	0.92
31090.5	0.59	0.82
31090.75	0.88	1.41
31091	0.97	1.56
31091.25	0.85	1.21
31091.5	0.96	1.27
31091.75	0.72	0.95
31092	0.48	0.71
31092.25	0.51	0.69
31092.5	2.78	3.42
31092.75	2.31	2.86
31093	1.54	1.85
31093.25	1.49	1.8
31093.5	1.82	2
31093.75	0.2	0.22
31094	0.72	1.41
31094.25	1.42	2.05
31094.5	1.54	2.31
31094.75	1.49	2.04
31095	0.76	1.22
31095.25	1.34	1.81
31095.5	0.87	1.09
31095.75	0.21	0.56
31096	0.47	0.99
31096.25	0.36	0.64
31096.5	0.34	0.53
31096.75	1.02	1.26
31097	0.64	0.92
31097.25	1.14	1.71
31097.5	1.43	2.15
31097.75	0.84	1.11
31098	1.14	1.35
31098.25	0.43	0.52
31098.5	0.04	0.05
31098.75	0.77	1.05
31099	2.15	2.71
31099.25	1.29	1.65
31099.5	1.07	1.33
31099.75	0.93	1.21
31100	0.88	1.36
31100.25	1.22	1.89
31100.5	1.18	1.88
31100.75	0.99	1.37
31101	1.49	1.82
31101.25	1.53	2.08
31101.5	0.97	1.46
31101.75	0.74	1.23
31102	0.7	1.14
31102.25	0.38	0.73
31102.5	0.48	1.05
31102.75	0.45	0.8
31103	0.49	0.84
31103.25	1.05	1.6
31103.5	1.16	1.92
31103.75	0.59	1.1
31104	1.11	1.42
31104.25	1.66	2.11
31104.5	2.01	2.41
31104.75	1.83	1.96
31105	0.37	0.39
31105.25	0.54	1.16
31105.5	0.92	1.61
31105.75	0.87	1.28
31106	1.15	1.74
31106.25	1.61	2.19
31106.5	1.63	1.99
31106.75	0.82	1.18
31107	0.76	1.16
31107.25	0.8	1.26
31107.5	1.38	1.93
31107.75	0.72	0.9
31108	2	2.37
31108.25	1.54	1.78
31108.5	0.48	0.62
31108.75	0.51	0.96
31109	1.03	1.56
31109.25	0.76	1.06
31109.5	0.79	1.08
31109.75	0.79	1.04
31110	0.59	0.85
31110.25	0.6	0.79
31110.5	0.82	1.36
31110.75	0.76	1.06
31111	0.7	0.92
31111.25	1.17	1.31
31111.5	1.04	1.33
31111.75	0.34	0.79
31112	1.11	1.59
31112.25	1.86	2.2
31112.5	1.79	1.93
31112.75	1.39	1.61
31113	0.57	0.63
31113.25	0.87	1.32
31113.5	0.7	1.08
31113.75	0.58	0.86
31114	0.31	0.48
31114.25	0.62	0.87
31114.5	0.62	0.92
31114.75	0.03	0.13
31115	0.31	0.5
31115.25	0.53	0.73
31115.5	0.67	1.07
31115.75	0.57	0.84
31116	0.51	0.9
31116.25	0.54	0.72
31116.5	0.75	1.14
31116.75	0.51	0.7
31117	0.66	0.97
31117.25	1.24	1.66
31117.5	0.83	1.71
31117.75	1.06	1.57
31118	1.22	1.55
31118.25	1.09	1.6
31118.5	0.81	1.75
31118.75	0.99	1.9
31119	1.36	1.73
31119.25	2.3	2.57
31119.5	1.95	2.33
31119.75	1.65	1.94
31120	0.11	0.12
31120.25	1.09	1.82
31120.5	1.31	1.86
31120.75	1.18	1.77
31121	1.19	1.84
31121.25	1.22	1.71
31121.5	1.34	1.83
31121.75	1.35	1.82
31122	1.7	1.96
31122.25	1.2	1.24
31122.5	0.84	0.89
31122.75	0.45	0.47
31123	0.69	0.72
31123.25	1.16	1.19
31123.5	1.08	1.19
31123.75	0.81	0.84
31124	0.89	0.96
31124.25	0.78	1.57
31124.5	1.05	1.58
31124.75	1.61	2.03
31125	1.42	1.73
31125.25	0.75	1.16
31125.5	0.27	0.62
31125.75	0.36	0.5
31126	0.32	0.49
31126.25	0.49	0.62
31126.5	0.93	0.97
31126.75	1.52	1.62
31127	1.56	1.68
31127.25	1.3	1.43
31127.5	1.19	1.45
31127.75	1.06	1.32
31128	1.12	1.31
31128.25	1.31	1.45
31128.5	1.44	1.55
31128.75	2.39	2.54
31129	2.68	2.79
31129.25	2.65	2.75
31129.5	2.42	2.52
31129.75	2.71	2.77
31130	2.11	2.16
31130.25	2.13	2.18
31130.5	1.74	1.86
31130.75	1.34	1.47
31131	1.03	1.22
31131.25	0.93	1.03
31131.5	0.91	1.04
31131.75	0.77	0.91
31132	0.85	1.06
31132.25	0.73	1
31132.5	0.88	1.32
31132.75	0.91	1.11
31133	0.29	0.57
31133.25	1.17	1.73
31133.5	1.8	2.18
31133.75	1.85	2.15
31134	1.43	1.64
31134.25	0.95	1.59
31134.5	1.93	2.22
31134.75	1.73	1.92
31135	1.23	1.34
31135.25	1.2	1.31
31135.5	0.48	0.67
31135.75	0.03	0.06
31136	0.75	0.94
31136.25	0.39	0.45
31136.5	0.71	0.8
31136.75	0.76	0.86
31137	0.9	1
31137.25	1.26	1.28
31137.5	3.11	3.32
31137.75	2.27	2.4
31138	1.72	1.82
31138.25	1.63	1.73
31138.5	1.76	1.88
31138.75	2.17	2.31
31139	2	2.1
31139.25	1.53	1.6
31139.5	1.44	1.52
31139.75	1.43	1.54
31140	1.58	1.75
31140.25	1.11	1.27
31140.5	0.79	1.37
31140.75	0.65	1.3
31141	1.47	2.21
31141.25	0.97	1.2
31141.5	0.44	0.49
31141.75	0.05	0.07
31142	0.61	0.66
31142.25	0.81	0.82
31142.5	0.92	0.97
31142.75	0.84	0.9
31143	0.81	1.02
31143.25	0.54	0.99
31143.5	0.56	0.92
31143.75	0.37	0.68
31144	0.69	0.91
31144.25	0.71	0.86
31144.5	0.35	0.52
31144.75	0.43	0.6
31145	1.61	1.69
31145.25	1.9	2
31145.5	2.32	2.46
31145.75	2.38	2.61
31146	2.37	2.58
31146.25	2.23	2.42
31146.5	1.81	1.96
31146.75	1.88	2.01
31147	1.97	2.08
31147.25	1.74	1.84
31147.5	1.45	1.53
31147.75	1.24	1.46
31148	0.83	1.27
31148.25	0.97	1.23
31148.5	0.47	0.61
31148.75	0.35	0.53
31149	0.38	0.73
31149.25	0.34	0.8
31149.5	0.75	1.35
31149.75	0.37	0.73
31150	0.25	0.53
31150.25	0.49	0.97
31150.5	1.01	1.5
31150.75	1.62	2.43
31151	1.29	1.79
31151.25	1.6	2.4
31151.5	1.29	1.87
31151.75	1.45	1.93
31152	1.04	1.29
31152.25	1.34	1.91
31152.5	0.82	1.22
31152.75	0.34	0.74
31153	1.39	1.69
31153.25	1.49	1.71
31153.5	1.09	1.31
31153.75	1.04	1.23
31154	1.04	1.26
31154.25	0.95	1.01
31154.5	1.19	1.6
31154.75	0.66	1.24
31155	0.81	1.32
31155.25	0.87	1.34
31155.5	1.4	2.06
31155.75	0.82	1.31
31156	0.52	0.77
31156.25	1.27	1.45
31156.5	1.01	1.33
31156.75	1.05	1.7
31157	1.76	2.25
31157.25	1.65	1.88
31157.5	1.64	2.51
31157.75	0.67	1.06
31158	0.67	1.2
31158.25	0.37	0.74
31158.5	0.06	0.19
31158.75	0.68	1.07
31159	0.8	1
31159.25	0.97	1.38
31159.5	0.54	0.73
31159.75	1.36	1.65
31160	1.2	1.66
31160.25	0.98	1.35
31160.5	0.83	1.04
31160.75	1.24	1.39
31161	1.94	2.62
31161.25	1.48	2.23
31161.5	1.29	1.9
31161.75	0.53	0.98
31162	0.31	0.65
31162.25	0.68	1.33
31162.5	0.99	1.38
31162.75	1.08	1.56
31163	0.95	1.45
31163.25	0.4	0.46
31163.5	0.55	0.63
31163.75	0.61	0.62
31164	0.7	0.77
31164.25	1.15	1.14
31164.5	0.73	0.78
31164.75	0.67	0.98
31165	1.1	1.95
31165.25	1.7	1.91
31165.5	1.88	1.86
31165.75	1.57	1.62
31166	0.93	0.98
31166.25	0.89	1.21
31166.5	0.79	1.21
31166.75	1.51	1.66
31167	1.84	1.85
31167.25	1.05	1.1
31167.5	0.96	1.06
31167.75	0.44	0.86
31168	0.9	1.76
31168.25	0.76	1.4
31168.5	1.15	1.53
31168.75	0.82	0.9
31169	0.63	0.67
31169.25	0.57	0.62
31169.5	0.68	0.89
31169.75	0.36	0.38
31170	0.42	0.49
31170.25	0.79	1.07
31170.5	0.39	0.52
31170.75	0.53	1.1
31171	0.59	0.91
31171.25	0.77	1.03
31171.5	1.65	1.92
31171.75	1.23	1.4
31172	0.41	0.86
31172.25	1.04	1.55
31172.5	1.53	1.94
31172.75	0.92	1.18
31173	0.92	1.83
31173.25	1.47	1.91
31173.5	1.5	1.65
31173.75	0.45	0.58
31174	0.83	1.49
31174.25	1.1	2.01
31174.5	2.56	2.98
31174.75	1.72	2.1
31175	1.21	1.68
31175.25	1.07	1.61
31175.5	1	1.79
31175.75	0.7	0.89
31176	0.82	1.09
31176.25	0.77	1.03
31176.5	1.62	1.71
31176.75	1.18	1.34
31177	1.2	1.32
31177.25	1.53	1.56
31177.5	1.19	1.25
31177.75	1.03	1.05
31178	1.01	1.05
31178.25	1.42	1.47
31178.5	2.71	2.77
31178.75	2.75	2.77
31179	2.32	2.37
31179.25	2.21	2.28
31179.5	2.06	2.13
31179.75	1.85	1.93
31180	1.79	1.99
31180.25	2.22	2.62
31180.5	1.81	2.28
31180.75	2.09	2.67
31181	2.14	2.71
31181.25	1.93	2.4
31181.5	1.91	2.28
31181.75	1.87	2.29
31182	1.75	2.18
31182.25	1.7	2.4
31182.5	1.34	1.78
31182.75	1.26	1.6
31183	0.9	1.18
31183.25	1.16	1.4
31183.5	1.34	1.52
31183.75	1.2	1.44
31184	1.19	1.61
31184.25	1.18	1.64
31184.5	0.94	1.4
31184.75	1.03	1.43
31185	0.74	0.93
31185.25	1.16	1.57
31185.5	1.27	1.58
31185.75	1.3	1.47
31186	2.03	2.1
31186.25	1.57	1.87
31186.5	1.27	1.37
31186.75	0.51	0.53
31187	0.96	0.98
31187.25	1.35	1.36
31187.5	1.27	1.29
31187.75	0.97	1.01
31188	0.93	0.99
31188.25	0.88	0.95
31188.5	0.81	0.87
31188.75	0.8	0.98
31189	1.21	1.69
31189.25	2.03	2.54
31189.5	1.79	2.34
31189.75	1.62	2.04
31190	1.66	2.17
31190.25	0.83	1.26
31190.5	0.56	0.85
31190.75	1.02	1.22
31191	1.85	2.41
31191.25	1.45	1.83
31191.5	1.08	1.39
31191.75	0.94	1.16
31192	0.93	1.11
31192.25	0.96	1.12
31192.5	1.07	1.2
31192.75	1.18	1.28
31193	1.21	1.28
31193.25	1.32	1.39
31193.5	1.46	1.49
31193.75	1.54	1.61
31194	1.44	1.51
31194.25	1.36	1.43
31194.5	1.42	1.49
31194.75	1.3	1.37
31195	1.16	1.23
31195.25	1.07	1.13
31195.5	1.31	1.35
31195.75	1.22	1.27
31196	1.01	1.06
31196.25	0.93	0.99
31196.5	1.05	1.15
31196.75	0.72	0.76
31197	0.9	0.93
31197.25	2.02	2.15
31197.5	2.57	2.79
31197.75	2.66	2.82
31198	3.02	3.19
31198.25	3.55	3.79
31198.5	1.86	1.95
31198.75	1.41	1.46
31199	1.18	1.21
31199.25	1.27	1.29
31199.5	1.05	1.09
31199.75	0.89	0.91
31200	0.77	0.8
31200.25	0.67	0.7
31200.5	0.56	0.6
31200.75	0.67	0.74
31201	0.57	0.69
31201.25	0.58	0.71
31201.5	1.04	1.18
31201.75	1.34	1.45
31202	1.2	1.27
31202.25	1.13	1.21
31202.5	1.25	1.5
31202.75	1.26	1.52
31203	1.23	1.61
31203.25	1.43	1.97
31203.5	1.32	1.75
31203.75	1.16	1.58
31204	1.02	1.33
31204.25	0.87	1.08
31204.5	0.75	0.94
31204.75	1.14	1.59
31205	1.53	2.25
31205.25	1.52	2.13
31205.5	1.41	1.9
31205.75	1.3	1.71
31206	1.31	1.65
31206.25	1.3	1.62
31206.5	1.24	1.52
31206.75	1.21	1.47
31207	1.31	1.57
31207.25	1.53	1.83
31207.5	1.14	1.68
31207.75	0.93	1.8
31208	2.11	3.07
31208.25	1.67	2.07
31208.5	1.51	1.76
31208.75	1.55	1.95
31209	1.48	1.75
31209.25	1.57	1.57
31209.5	1.48	1.49
31209.75	1.08	1.11
31210	0.86	0.93
31210.25	0.83	0.92
31210.5	0.67	0.75
31210.75	0.75	0.93
31211	0.48	0.55
31211.25	0.56	0.57
31211.5	0.66	0.67
31211.75	0.36	0.37
31212	0.49	0.48
31212.25	0.64	0.62
31212.5	0.8	0.84
31212.75	0.82	0.86
31213	0.81	0.84
31213.25	0.83	0.87
31213.5	0.92	0.96
31213.75	0.96	1
31214	1.05	1.14
31214.25	1.14	1.27
31214.5	0.98	1.07
31214.75	0.79	0.88
31215	0.64	0.73
31215.25	0.54	0.64
31215.5	0.69	0.78
31215.75	1.03	1.04
31216	0.9	0.92
31216.25	0.7	0.76
31216.5	0.65	0.73
31216.75	0.9	0.98
31217	1.31	1.47
31217.25	1.49	1.72
31217.5	1.6	1.83
31217.75	1.39	1.62
31218	1.46	1.66
31218.25	1.03	1.19
31218.5	1.84	1.96
31218.75	2.34	2.51
31219	2.61	2.87
31219.25	3.54	4.03
31219.5	2.89	3.24
31219.75	2.64	2.95
31220	2.44	2.74
31220.25	2.43	2.76
31220.5	3.32	3.83
31220.75	4.4	5.22
31221	4.4	5.18
31221.25	3.55	4.05
31221.5	3.35	3.82
31221.75	2.92	3.33
31222	2.45	2.79
31222.25	2.12	2.51
31222.5	1.71	1.92
31222.75	1.46	1.65
31223	1.36	1.66
31223.25	0.79	1.14
31223.5	0.4	0.74
31223.75	0.63	0.98
31224	0.54	0.82
31224.25	0.55	0.7
31224.5	0.84	1.07
31224.75	0.94	1.09
31225	0.91	1.02
31225.25	1.42	1.51
31225.5	1.18	1.28
31225.75	1.67	1.74
31226	1.41	1.48
31226.25	1.23	1.3
31226.5	0.98	1.05
31226.75	0.78	0.84
31227	0.82	0.88
31227.25	0.86	0.92
31227.5	0.89	0.94
31227.75	0.89	0.93
31228	0.81	0.85
31228.25	0.75	0.79
31228.5	0.71	0.76
31228.75	0.95	1.06
31229	1.41	1.63
31229.25	1.54	1.66
31229.5	1.62	1.8
31229.75	1.75	2.17
31230	1.75	2.14
31230.25	1.32	1.59
31230.5	1.19	1.42
31230.75	0.75	1.25
31231	1.93	2.23
31231.25	2.64	2.87
31231.5	1.77	1.86
31231.75	2.08	2.11
31232	1.21	1.46
31232.25	1.36	1.62
31232.5	1.62	1.96
31232.75	1.36	1.77
31233	1.04	1.37
31233.25	1.07	1.59
31233.5	1.01	1.4
31233.75	0.33	0.8
31234	0.46	0.75
31234.25	0.85	0.87
31234.5	2.18	2.25
31234.75	1.24	1.3
31235	1.04	1.11
31235.25	0.86	0.89
31235.5	0.67	0.63
31235.75	0.41	0.43
31236	0.38	0.47
31236.25	0.27	0.5
31236.5	0.54	0.66
31236.75	0.57	0.89
31237	0.95	1.34
31237.25	1.06	1.35
31237.5	0.98	1.31
31237.75	1.06	1.49
31238	1.18	1.62
31238.25	1.42	1.75
31238.5	0.88	1.05
31238.75	0.39	0.52
31239	0.52	0.79
31239.25	1.14	1.53
31239.5	0.92	1.24
31239.75	0.7	0.94
31240	0.71	0.97
31240.25	0.87	1.21
31240.5	0.69	1.18
31240.75	0.72	0.96
31241	0.9	1.03
31241.25	1.03	1.3
31241.5	1.5	2.01
31241.75	1.81	2.14
31242	2.32	2.38
31242.25	1.7	1.77
31242.5	2.21	2.37
31242.75	1.38	1.65
31243	1.34	1.48
31243.25	1.02	1.18
31243.5	0.97	1.36
31243.75	0.55	0.84
31244	0.34	0.44
31244.25	0.4	0.83
31244.5	0.72	1.17
31244.75	0.69	1.08
31245	1.18	1.44
31245.25	1.06	1.39
31245.5	0.96	1.44
31245.75	1.08	1.79
31246	0.97	1.66
31246.25	1.12	1.95
31246.5	0.94	1.55
31246.75	0.79	1.46
31247	0.91	1.07
31247.25	0.55	0.83
31247.5	0.24	0.52
31247.75	0.63	1.06
31248	0.75	1.36
31248.25	0.8	1.2
31248.5	1.16	1.22
31248.75	0.43	0.48
31249	0.67	0.87
31249.25	0.32	0.48
31249.5	0.49	0.59
31249.75	0.62	0.71
31250	1.27	1.42
31250.25	1.52	1.75
31250.5	1.56	1.84
31250.75	1.38	1.72
31251	1.22	1.44
31251.25	1.19	1.39
31251.5	1.12	1.31
31251.75	1.04	1.38
31252	0.9	1.11
31252.25	0.71	0.93
31252.5	0.91	1.26
31252.75	0.54	1.13
31253	0.52	1.04
31253.25	0.58	1.05
31253.5	0.71	1.17
31253.75	0.49	0.79
31254	0.53	0.92
31254.25	0.55	1.05
31254.5	0.5	0.75
31254.75	0.7	0.85
31255	0.8	0.82
31255.25	0.54	0.54
31255.5	0.79	0.84
31255.75	0.97	1.31
31256	0.7	1.05
31256.25	0.75	1.06
31256.5	0.86	1.16
31256.75	1.2	1.68
31257	1.55	2.06
31257.25	1.62	2.24
31257.5	1.51	2.05
31257.75	0.98	1.35
31258	0.84	1.09
31258.25	0.78	0.98
31258.5	0.82	0.96
31258.75	0.91	1.05
31259	1.06	1.43
31259.25	1.47	2
31259.5	1.35	1.83
31259.75	1.42	1.96
31260	1.06	1.57
31260.25	1.27	2.22
31260.5	2.07	2.39
31260.75	1.61	1.86
31261	1.24	1.79
31261.25	0.58	1.21
31261.5	0.4	0.49
31261.75	0.64	0.91
31262	1.15	1.54
31262.25	1.2	1.64
31262.5	0.72	1.25
31262.75	0.97	1.45
31263	0.88	1.37
31263.25	1.21	1.73
31263.5	0.94	1.35
31263.75	0.92	1.19
31264	1.09	1.61
31264.25	1.26	2
31264.5	0.73	1.25
31264.75	0.85	1.54
31265	1.09	1.82
31265.25	0.84	1.08
31265.5	2.45	2.45
31265.75	1.76	2.01
31266	1.76	1.98
31266.25	1.21	1.51
31266.5	1.46	1.79
31266.75	1.09	1.36
31267	0.94	1.08
31267.25	0.83	1
31267.5	0.85	1.34
31267.75	0.76	1.64
31268	0.82	1.63
31268.25	0.68	1.4
31268.5	0.69	1.41
31268.75	1.03	1.56
31269	1.25	1.52
31269.25	0.49	0.58
31269.5	0.01	0.03
31269.75	2.3	2.73
31270	1.32	1.88
31270.25	1.17	1.63
31270.5	1.25	1.85
31270.75	1.01	1.44
31271	0.42	0.9
31271.25	0.38	0.71
31271.5	0.45	0.67
31271.75	0.76	1.29
31272	1.14	1.61
31272.25	1.32	1.84
31272.5	1.02	1.36
31272.75	0.84	1.18
31273	1.44	1.78
31273.25	1.25	1.56
31273.5	1.15	1.49
31273.75	1.73	1.84
31274	1.25	1.5
31274.25	1.65	1.89
31274.5	1.65	1.89
31274.75	1.6	1.76
31275	1.19	1.23
31275.25	0.65	0.7
31275.5	0.52	0.55
31275.75	0.72	1.23
31276	1.8	2.68
31276.25	1.27	1.87
31276.5	1.67	2.22
31276.75	1.62	2.05
31277	1.77	2.11
31277.25	1.12	1.26
31277.5	0.48	0.62
31277.75	0.42	0.73
31278	0.51	0.74
31278.25	0.52	0.59
31278.5	0.64	0.64
31278.75	0.53	0.54
31279	0.46	0.46
31279.25	0.46	0.48
31279.5	0.68	0.92
31279.75	2.01	2.54
31280	2.92	3.65
31280.25	1.98	2.57
31280.5	1.42	1.78
31280.75	1.1	1.37
31281	0.88	1.09
31281.25	0.77	0.96
31281.5	0.59	1.05
31281.75	0.81	1.13
31282	1.47	1.9
31282.25	2.17	2.33
31282.5	1.54	1.76
31282.75	0.4	0.51
31283	0.57	1.04
31283.25	0.76	1.28
31283.5	0.81	1.2
31283.75	1.1	1.26
31284	0.83	0.9
31284.25	0.08	0.09
31284.5	0.5	1.09
31284.75	0.72	1.32
31285	0.79	1.38
31285.25	0.59	1.15
31285.5	0.67	1.03
31285.75	0.48	0.85
31286	0.45	0.63
31286.25	0.31	0.63
31286.5	1.27	1.57
31286.75	1.64	2.16
31287	1.11	1.52
31287.25	0.86	1.09
31287.5	0.72	0.98
31287.75	0.92	1.59
31288	1.3	2
31288.25	1.38	2.11
31288.5	1.28	1.82
31288.75	0.51	0.94
31289	0.82	1.45
31289.25	1.45	1.81
31289.5	2.09	2.33
31289.75	2.11	2.17
31290	1.82	1.9
31290.25	1.53	1.68
31290.5	1.18	1.39
31290.75	0.61	1.31
31291	0.54	1.15
31291.25	0.71	1.2
31291.5	0.67	1.26
31291.75	0.57	0.89
31292	0.34	0.49
31292.25	0.28	0.65
31292.5	0.61	1.2
31292.75	0.57	1.02
31293	0.37	0.72
31293.25	1.01	1.84
31293.5	1.38	1.92
31293.75	1.12	1.47
31294	0.91	1.19
31294.25	1.19	1.5
31294.5	0.6	0.85
31294.75	1.11	1.63
31295	2.23	3.01
31295.25	2.79	3.58
31295.5	1.89	2.48
31295.75	1.37	1.75
31296	1.06	1.4
31296.25	1.24	1.74
31296.5	1.5	2.09
31296.75	0.06	0.11
31297	0.06	0.22
31297.25	1.69	2.16
31297.5	1.3	1.95
31297.75	1.54	2.04
31298	1.59	1.93
31298.25	1.38	1.67
31298.5	1.16	1.42
31298.75	1.19	1.67
31299	0.65	1.21
31299.25	0.76	1.46
31299.5	1.38	2.59
31299.75	1.17	1.89
31300	0.38	0.81
31300.25	0.33	0.72
31300.5	0.44	0.66
31300.75	1.91	1.92
31301	1.72	1.81
31301.25	2.25	2.34
31301.5	1.85	1.93
31301.75	1.51	1.58
31302	1.09	1.42
31302.25	1.86	1.91
31302.5	2.06	2.08
31302.75	1.22	1.26
31303	1.2	1.23
31303.25	1.16	1.2
31303.5	1.07	1.15
31303.75	0.95	0.99
31304	1.02	1.17
31304.25	0.94	1.07
31304.5	0.54	0.85
31304.75	0.34	0.61
31305	0.72	1.08
31305.25	0.68	1
31305.5	0.44	0.58
31305.75	0.36	0.5
31306	0.67	1.02
31306.25	0.79	1.18
31306.5	1.58	2.21
31306.75	1.22	1.88
31307	0.95	1.23
31307.25	0.86	1.07
31307.5	0.8	0.98
31307.75	0.85	1.02
31308	0.98	1.23
31308.25	0.57	0.95
31308.5	0.67	1.11
31308.75	0.72	1.11
31309	0.76	0.98
31309.25	1.23	1.51
31309.5	1.07	1.4
31309.75	0.87	1.19
31310	1.37	1.61
31310.25	1.16	1.57
31310.5	1.15	1.68
31310.75	0.76	1.18
31311	1.05	1.73
31311.25	0.98	2.03
31311.5	1.07	1.87
31311.75	0.93	1.38
31312	0.53	0.84
31312.25	0.3	0.69
31312.5	0.28	0.39
31312.75	0.89	1.28
31313	1.49	2.05
31313.25	1.54	2.09
31313.5	1.6	2.3
31313.75	1.78	1.99
31314	1.28	1.56
31314.25	1.04	1.26
31314.5	1.19	1.38
31314.75	2.15	2.51
31315	3.08	3.64
31315.25	4.07	4.87
31315.5	2.56	3.09
31315.75	1.93	2.42
31316	1.56	1.98
31316.25	1.56	1.9
31316.5	0.5	0.9
31316.75	0.39	0.7
31317	0.55	0.88
31317.25	0.48	0.86
31317.5	1.17	1.81
31317.75	1.05	1.5
31318	0.93	1.28
31318.25	0.91	1.27
31318.5	0.76	0.98
31318.75	0.82	1.08
31319	2.22	2.89
31319.25	1.43	1.8
31319.5	1.13	1.42
31319.75	0.92	1.19
31320	1.5	1.94
31320.25	1.12	1.39
31320.5	1.07	1.28
31320.75	0.97	1.19
31321	1.16	1.45
31321.25	1.04	1.13
31321.5	1.3	1.41
31321.75	0.89	1.29
31322	0.9	1.24
31322.25	1.09	1.32
31322.5	0.6	0.82
31322.75	0.26	0.56
31323	0.37	0.65
31323.25	0.39	0.63
31323.5	0.51	0.9
31323.75	0.81	1.01
31324	1.11	1.12
31324.25	0.84	0.86
31324.5	0.77	1.03
31324.75	0.25	0.64
31325	0.5	0.92
31325.25	0.88	1.4
31325.5	0.89	1.26
31325.75	0.71	1.39
31326	0.92	1.02
31326.25	1.49	1.57
31326.5	1.02	1.29
31326.75	1.24	1.83
31327	1.51	2.02
31327.25	1.65	2.12
31327.5	1.49	1.94
31327.75	0.73	0.91
31328	0.36	0.46
31328.25	0.58	0.9
31328.5	0.36	0.5
31328.75	0.46	0.63
31329	0.66	1.09
31329.25	0.53	0.79
31329.5	0.39	0.49
31329.75	0.47	0.63
31330	0.05	0.18
31330.25	1.58	2.09
31330.5	2.06	2.7
31330.75	1.33	1.79
31331	1.45	2.06
31331.25	1.5	2.07
31331.5	0.89	1.12
31331.75	0.81	1.1
31332	0.83	1.05
31332.25	0.91	0.97
31332.5	0.5	0.61
31332.75	0.34	0.53
31333	0.55	0.63
31333.25	0.64	0.68
31333.5	0.56	0.72
31333.75	0.44	0.57
31334	0.49	0.59
31334.25	0.54	0.65
31334.5	0.59	0.72
31334.75	0.57	0.69
31335	0.54	0.65
31335.25	0.71	0.82
31335.5	0.64	0.76
31335.75	0.88	1.14
31336	0.9	1.2
31336.25	0.9	1.24
31336.5	0.87	1.06
31336.75	0.8	0.95
31337	0.77	0.9
31337.25	0.69	0.8
31337.5	0.73	0.85
31337.75	0.59	0.7
31338	0.52	0.77
31338.25	0.47	0.57
31338.5	0.43	0.53
31338.75	0.63	0.78
31339	0.83	0.94
31339.25	0.79	0.88
31339.5	1.05	1.18
31339.75	1.86	2.04
31340	2.76	3.11
31340.25	2.42	2.79
