FechayHora	P2_Hs	P6_Hs
28911.75	1.45	1.77
28912	0.32	0.48
28912.25	1.13	1.71
28912.5	0.57	1
28912.75	1.05	1.69
28913	1.68	2.09
28913.25	2.73	2.92
28913.5	2.79	2.89
28913.75	3.41	3.53
28914	2.46	2.48
28914.25	2.27	2.27
28914.5	2.02	2.05
28914.75	1.77	1.85
28915	1.78	1.83
28915.25	1.46	1.53
28915.5	1.48	1.67
28915.75	1.08	1.3
28916	0.89	1.02
28916.25	0.95	1.06
28916.5	0.87	1.1
28916.75	0.9	1.12
28917	1.16	1.35
28917.25	0.97	1.15
28917.5	0.81	1.07
28917.75	0.84	1.13
28918	0.75	1.01
28918.25	1.21	1.46
28918.5	0.68	0.91
28918.75	0.99	1.19
28919	1.01	1.27
28919.25	0.79	0.98
28919.5	0.95	1.07
28919.75	1.3	1.43
28920	2.14	2.24
28920.25	1.92	2.02
28920.5	1.64	1.73
28920.75	1.51	1.63
28921	1.2	1.29
28921.25	2.2	2.34
28921.5	2.22	2.26
28921.75	2.15	2.18
28922	2.24	2.31
28922.25	2.76	2.84
28922.5	2.21	2.33
28922.75	1.87	1.91
28923	1.74	1.82
28923.25	1.42	1.55
28923.5	1.09	1.25
28923.75	0.7	0.81
28924	0.74	0.86
28924.25	0.64	0.84
28924.5	0.63	0.79
28924.75	0.48	0.53
28925	0.42	0.5
28925.25	0.24	0.26
28925.5	0.63	0.69
28925.75	0.57	0.72
28926	0.44	0.64
28926.25	0.62	0.84
28926.5	0.72	0.92
28926.75	0.79	1.01
28927	1.29	1.79
28927.25	0.92	1.22
28927.5	1.22	1.55
28927.75	0.57	0.8
28928	0.75	1.26
28928.25	0.92	1.42
28928.5	1.57	2.11
28928.75	1.37	1.76
28929	1.43	1.72
28929.25	1.14	1.57
28929.5	0.79	1.27
28929.75	0.49	0.89
28930	0.33	0.59
28930.25	0.62	1.1
28930.5	0.83	1.04
28930.75	0.7	1
28931	0.75	1.12
28931.25	0.9	1.2
28931.5	0.69	0.95
28931.75	0.41	0.59
28932	0.58	1.03
28932.25	0.42	0.57
28932.5	0.66	0.77
28932.75	0.72	0.77
28933	1.25	1.45
28933.25	0.98	1
28933.5	0.85	0.86
28933.75	0.57	0.58
28934	0.52	0.54
28934.25	0.62	0.66
28934.5	0.62	0.68
28934.75	0.47	0.48
28935	0.46	0.51
28935.25	0.53	0.58
28935.5	0.6	0.65
28935.75	0.45	0.52
28936	0.42	0.47
28936.25	0.46	0.52
28936.5	0.57	0.66
28936.75	0.64	0.75
28937	0.67	0.79
28937.25	0.65	0.76
28937.5	0.62	0.73
28937.75	0.6	0.69
28938	0.57	0.67
28938.25	0.55	0.66
28938.5	0.54	0.65
28938.75	1.49	1.57
28939	0.86	0.88
28939.25	0.96	0.98
28939.5	0.68	0.71
28939.75	0.56	0.57
28940	0.6	1.21
28940.25	1.17	2.11
28940.5	0.86	1.49
28940.75	0.76	1.04
28941	0.49	0.74
28941.25	0.4	0.6
28941.5	0.93	1.34
28941.75	0.03	0.08
28942	0.04	0.12
28942.25	0.53	0.91
28942.5	0.43	0.59
28942.75	1.69	2.09
28943	1.72	2.1
28943.25	1.78	2.3
28943.5	1.54	1.92
28943.75	1.14	1.51
28944	0.83	1.18
28944.25	0.01	0.02
28944.5	0.77	1.02
28944.75	1.88	2.56
28945	1.13	1.66
28945.25	1.68	2.4
28945.5	2.51	3.12
28945.75	2.94	3.59
28946	2.61	3
28946.25	2.78	3.06
28946.5	2.91	3.01
28946.75	3.24	3.39
28947	3.66	3.82
28947.25	3.86	3.8
28947.5	3.33	3.26
28947.75	2.75	2.72
